NOM,TYPE,VOLATILITE,PRIX ACHAT,PRIX VENTE,BENEF,PRIX MOYEN AUJ,PRIX MOYEN HIER,PRIX MOYEN AV-HIER
Semeido,UCL,0.24%,17735,21480,2671,19233,19297,20452
Marcelo,UCL,0.26%,17131,20747,2579,19828,18940,18523
De Jong,UCL,0.19%,23729,28739,3573,27151,25833,26375
Laporte,UCL,0.22%,27911,33803,4202,31437,30684,31017
Kimmich,UCL,0.34%,20562,24903,3096,21726,22190,26812
Gabriel Jesus,UCL,0.41%,8879,10754,1337,11208,10045,8637
Coutinho,UCL,0.46%,20702,25072,3116,21482,21551,25802
Fernandinho,UCL,0.21%,26506,32102,3991,29343,29053,29909
Kane,UCL,0.50%,45222,54769,6809,50683,50393,49616
Koulibaly,UCL,0.39%,43658,52875,6573,49683,49602,46785
Douglas Costa,UCL,0.23%,8079,9785,1217,9536,8936,8516
Umtiti,UCL,0.22%,28832,34918,4340,33141,31218,32022
Lucas,UCL,0.25%,17159,20781,2583,19450,19130,18726
BenzemaIF,IF,0.11%,90265,109320,13589,100816,100119,100087
Werner,UCL,0.38%,6594,7986,993,7963,7431,6661
